Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TCmp,TAtt,TCmp%,TotDist,PrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
15,Christian Acella,it ITA,MF,Cremonese,Serie A,20,2002,0.2,9,9,100.0,129,4,5,5,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,771a2cfe
16,Francesco Acerbi,it ITA,DF,Inter,Serie A,34,1988,26.9,1455,1644,88.5,27034,8090,545,594,91.8,737,802,91.9,149,202,73.8,2,1.1,1.2,+0.9,16,86,14,3,100,Matches,b96b595c
17,Álvaro Aceves,es ESP,GK,Real Valladolid,La Liga,19,2003,0.1,7,8,87.5,151,113,2,2,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,be6faae0
18,Mohamed Achi,fr FRA,FW,Nantes,Ligue 1,20,2002,0.4,18,21,85.7,274,76,7,7,100.0,10,12,83.3,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,3,Matches,1e93fc5d
19,Marcos Acuña,ar ARG,DF,Sevilla,La Liga,30,1991,21.2,970,1307,74.2,18018,6997,446,499,89.4,380,491,77.4,128,260,49.2,2,4.3,5.7,-2.3,38,71,38,19,102,Matches,81442ecb
20,Che Adams,sct SCO,FW,Southampton,Premier League,26,1996,22.1,330,498,66.3,4651,1042,205,278,73.7,78,118,66.1,26,37,70.3,3,2.8,2.2,+0.2,24,21,11,2,34,Matches,f2bf1b0f
21,Tyler Adams,us USA,MF,Leeds,Premier League,23,1999,24.0,1108,1343,82.5,16592,5061,607,686,88.5,390,460,84.8,63,107,58.9,0,1.4,1.0,-1.4,24,110,13,0,136,Matches,2b09d998
22,Sargis Adamyan,am ARM,FWMF,FC Cologne,Bundesliga,29,1993,7.2,123,179,68.7,2000,527,61,76,80.3,48,64,75.0,10,16,62.5,2,0.8,1.4,+1.2,8,7,11,2,24,Matches,22919e97
23,Tosin Adarabioyo,eng ENG,DF,Fulham,Premier League,24,1997,23.2,1066,1300,82.0,22623,8478,265,307,86.3,653,735,88.8,136,223,61.0,0,0.4,0.5,-0.4,6,96,7,0,95,Matches,c81d773d
24,Martin Adeline,fr FRA,MFFW,Reims,Ligue 1,18,2003,1.2,29,41,70.7,390,93,12,18,66.7,11,14,78.6,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,3,Matches,7587446d
25,Karim Adeyemi,de GER,FWMF,Borussia Dortmund,Bundesliga,20,2002,15.4,335,457,73.3,4409,1278,197,243,81.1,97,125,77.6,13,27,48.1,5,3.7,3.7,+1.3,28,17,25,0,47,Matches,501055d8
26,Amine Adli,ma MAR,FWMF,Bayer Leverkusen,Bundesliga,22,2000,15.9,427,565,75.6,5845,1373,240,296,81.1,138,166,83.1,18,34,52.9,3,1.7,1.9,+1.3,20,26,10,0,49,Matches,dcfb17f4
27,Yacine Adli,fr FRA,MFFW,AC Milan,Serie A,22,2000,1.6,49,76,64.5,931,308,21,28,75.0,17,24,70.8,9,16,56.3,0,0.3,0.2,-0.3,2,6,2,0,10,Matches,26777636
28,Michel Aebischer,ch SUI,FWMF,Bologna,Serie A,25,1997,17.1,557,674,82.6,8050,2143,312,343,91.0,189,223,84.8,27,51,52.9,0,0.6,0.5,-0.6,15,37,7,1,46,Matches,f9c927de
29,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,Serie A,19,2003,9.1,146,193,75.6,1855,194,99,115,86.1,34,46,73.9,4,7,57.1,0,0.1,0.2,-0.1,3,3,0,0,8,Matches,0154d290
30,Emmanuel Agbadou,ci CIV,DF,Reims,Ligue 1,25,1997,26.5,1281,1493,85.8,27077,9413,360,413,87.2,705,764,92.3,202,284,71.1,3,2.4,1.7,+0.6,13,112,15,1,131,Matches,75f1ed80
31,Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,21,2000,7.5,171,241,71.0,4890,3600,29,29,100.0,91,94,96.8,51,118,43.2,0,0.0,0.0,0.0,0,2,0,0,0,Matches,a2c1a8d3
32,Lucien Agoume,fr FRA,MF,Troyes,Ligue 1,20,2002,12.2,619,744,83.2,10977,3466,254,295,86.1,285,322,88.5,60,89,67.4,1,1.1,1.0,-0.1,12,62,15,2,93,Matches,8bc8829a
33,Felix Agu,ng NGA,DFFW,Werder Bremen,Bundesliga,22,1999,0.5,16,25,64.0,299,144,4,5,80.0,9,10,90.0,2,6,33.3,0,0.1,0.1,-0.1,1,1,1,0,2,Matches,cb6d81b3
34,Álvaro Aguado,es ESP,MF,Real Valladolid,La Liga,26,1996,21.0,930,1142,81.4,18906,5096,359,404,88.9,371,429,86.5,174,246,70.7,2,2.2,2.0,-0.2,35,111,11,2,139,Matches,014aa7bd
35,Kevin Agudelo,co COL,MFFW,Spezia,Serie A,23,1998,23.7,531,735,72.2,7885,2631,295,349,84.5,173,226,76.5,30,54,55.6,1,3.0,2.6,-2.0,28,58,31,2,110,Matches,46fa7204
36,Nayef Aguerd,ma MAR,DF,West Ham,Premier League,26,1996,17.7,599,763,78.5,12203,5332,224,244,91.8,287,335,85.7,82,169,48.5,0,0.5,0.3,-0.5,6,37,4,0,25,Matches,288e1e13
37,Ruben Aguilar,fr FRA,DF,Monaco,Ligue 1,29,1993,13.0,696,847,82.2,10933,4515,352,394,89.3,291,343,84.8,36,68,52.9,0,0.9,1.2,-0.9,3,72,11,5,102,Matches,3dd738a1
38,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,Premier League,20,2002,1.0,37,46,80.4,550,179,19,23,82.6,15,17,88.2,1,3,33.3,0,0.1,0.0,-0.1,1,3,0,0,2,Matches,a6c58494
39,Naouirou Ahamada,fr FRA,MF,VfB Stuttgart,Bundesliga,20,2002,15.5,449,529,84.9,6965,1651,223,242,92.1,187,204,91.7,21,40,52.5,2,1.2,0.9,+0.8,15,38,7,2,56,Matches,a6c58494
40,Amar Ahmed,se SWE,FW,Troyes,Ligue 1,18,2004,0.2,6,10,60.0,79,18,3,5,60.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,22396615
41,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,447,592,75.5,7451,2109,207,255,81.2,179,230,77.8,38,68,55.9,1,1.1,1.3,-0.1,9,53,11,1,50,Matches,48b28bfd
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,26,1995,34.7,1525,1766,86.4,31337,9650,383,439,87.2,974,1050,92.8,163,244,66.8,0,0.1,0.3,-0.1,2,83,4,0,95,Matches,18abe173
43,Ola Aina,ng NGA,DF,Torino,Serie A,25,1996,9.7,402,544,73.9,6725,2554,210,232,90.5,130,173,75.1,48,93,51.6,1,2.1,1.9,-1.1,12,35,14,9,43,Matches,246d153b
44,Rayan Aït-Nouri,dz ALG,DF,Wolverhampton Wanderers,Premier League,21,2001,12.0,470,578,81.3,7079,2353,268,300,89.3,169,205,82.4,20,32,62.5,0,1.0,0.9,-1.0,7,29,14,5,43,Matches,9b398aea
45,Emanuel Aiwum,at AUT,DF,Cremonese,Serie A,21,2000,18.4,646,817,79.1,10819,3713,297,332,89.5,294,349,84.2,40,97,41.2,0,0.4,0.8,-0.4,4,48,7,1,46,Matches,d810c13b
46,Kristoffer Ajer,no NOR,DF,Brentford,Premier League,24,1998,8.5,259,345,75.1,4480,1887,131,159,82.4,102,128,79.7,23,40,57.5,0,0.0,0.1,0.0,1,20,3,1,31,Matches,a8c0acb7
47,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,28,1994,8.6,178,255,69.8,2614,397,103,137,75.2,55,79,69.6,11,16,68.8,0,0.8,0.8,-0.8,10,10,6,0,13,Matches,462475ed
48,Ludovic Ajorque,fr FRA,FWMF,Mainz 05,Bundesliga,28,1994,13.5,243,415,58.6,3550,613,153,231,66.2,55,104,52.9,22,28,78.6,1,1.7,1.6,-0.7,13,17,8,0,31,Matches,462475ed
49,Manuel Akanji,ch SUI,DF,Manchester City,Premier League,27,1995,25.4,1912,2056,93.0,32634,10258,867,902,96.1,903,945,95.6,117,166,70.5,1,0.4,1.0,+0.6,7,140,3,1,116,Matches,89ac64a6
50,Nathan Aké,nl NED,DF,Manchester City,Premier League,27,1995,20.8,1639,1813,90.4,26199,8953,803,846,94.9,745,809,92.1,63,98,64.3,0,0.7,1.3,-0.7,9,165,9,1,140,Matches,eaeca114
51,Sergio Akieme,es ESP,DF,Almeria,La Liga,24,1997,25.5,821,1061,77.4,13314,5012,430,485,88.7,315,386,81.6,52,128,40.6,0,2.0,2.2,-2.0,21,43,22,17,58,Matches,06efa9dc
52,Babatunde Akinsola,ng NGA,FW,Real Valladolid,La Liga,19,2003,0.1,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,733aab44
53,Maghnes Akliouche,fr FRA,MFFW,Monaco,Ligue 1,20,2002,4.5,130,168,77.4,1613,498,78,91,85.7,34,46,73.9,3,7,42.9,0,0.5,0.5,-0.5,6,12,5,0,16,Matches,b625b241
54,Paul Akouokou,ci CIV,MFDF,Real Betis,La Liga,24,1997,5.0,160,174,92.0,2670,645,71,73,97.3,66,69,95.7,14,18,77.8,0,0.0,0.1,0.0,0,13,1,0,10,Matches,31f5b89b
55,Jean-Daniel Akpa-Akpro,ci CIV,MFFW,Empoli,Serie A,29,1992,15.1,302,406,74.4,4399,1671,167,201,83.1,96,118,81.4,18,36,50.0,1,1.0,1.2,0.0,6,24,9,2,39,Matches,fdf4b948
56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,814,1024,79.5,15380,5931,275,319,86.2,437,495,88.3,83,162,51.2,0,0.5,0.8,-0.5,5,83,10,3,85,Matches,6ec6fde0
57,David Alaba,at AUT,DF,Real Madrid,La Liga,30,1992,20.4,1042,1189,87.6,15258,5475,601,626,96.0,340,388,87.6,53,99,53.5,3,1.1,1.3,+1.9,16,68,9,4,67,Matches,05439de2
58,Ángel Alarcón,es ESP,FWMF,Barcelona,La Liga,18,2004,0.3,5,8,62.5,49,13,5,7,71.4,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches,455c26a4
59,Tomás Alarcón,cl CHI,MF,Cadiz,La Liga,23,1999,2.5,78,95,82.1,1688,582,28,32,87.5,27,34,79.4,20,25,80.0,0,0.1,0.1,-0.1,2,11,1,0,9,Matches,99ea2ddd
60,Lucas Alario,ar ARG,FWMF,Eintracht Frankfurt,Bundesliga,29,1992,3.7,56,85,65.9,792,190,29,41,70.7,20,28,71.4,4,5,80.0,0,0.0,0.4,0.0,1,4,0,0,8,Matches,834d0be5
61,Jordi Alba,es ESP,DF,Barcelona,La Liga,33,1989,15.8,1217,1460,83.4,19141,5490,668,728,91.8,441,521,84.6,78,139,56.1,3,6.2,6.7,-3.2,38,120,43,15,141,Matches,4601e194
62,Luis Alberto,es ESP,MF,Lazio,Serie A,29,1992,27.1,1640,1988,82.5,25338,8690,905,986,91.8,560,646,86.7,116,238,48.7,7,7.0,6.3,0.0,66,210,56,1,248,Matches,5294a83f
63,Raúl Albiol,es ESP,DF,Villarreal,La Liga,36,1985,23.5,1303,1472,88.5,28074,10667,321,349,92.0,757,811,93.3,215,287,74.9,0,0.0,0.5,0.0,2,98,5,0,100,Matches,4bd414c1
64,Marc Albrighton,eng ENG,FWMF,Leicester,Premier League,32,1989,2.6,89,148,60.1,1440,551,48,60,80.0,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7,Matches,b827d5b3
65,Thiago Alcántara,es ESP,MF,Liverpool,Premier League,31,1991,13.9,946,1097,86.2,17219,4988,433,466,92.9,346,392,88.3,136,172,79.1,0,1.1,1.3,-1.1,17,110,20,1,120,Matches,77e84962
66,Carlos Alcaraz,ar ARG,MFFW,Southampton,Premier League,19,2002,11.4,222,290,76.6,3147,669,114,137,83.2,80,95,84.2,8,19,42.1,2,0.7,0.7,+1.3,5,20,6,0,28,Matches,4abac767
67,Rubén Alcaraz,es ESP,MF,Cadiz,La Liga,31,1991,22.7,827,1046,79.1,16517,4831,331,386,85.8,340,388,87.6,138,219,63.0,0,1.3,1.2,-1.3,20,93,16,8,105,Matches,036bba5f
68,Omar Alderete,py PAR,DF,Getafe,La Liga,25,1996,22.7,509,877,58.0,11252,5744,153,218,70.2,260,351,74.1,94,268,35.1,1,0.8,1.0,+0.2,5,69,12,0,96,Matches,bb08bce9
69,Iván Alejo,es ESP,MFFW,Cadiz,La Liga,27,1995,14.6,219,392,55.9,3409,1108,128,173,74.0,55,111,49.5,24,61,39.3,1,2.4,1.6,-1.4,21,10,24,20,16,Matches,3d7e48ce
70,Doğan Alemdar,tr TUR,GK,Rennes,Ligue 1,19,2002,4.5,95,145,65.5,2786,2199,20,20,100.0,47,47,100.0,28,77,36.4,0,0.1,0.0,-0.1,1,2,0,0,0,Matches,9e17ccff
71,Carles Aleñá,es ESP,MFFW,Getafe,La Liga,24,1998,23.5,607,809,75.0,10256,2596,291,346,84.1,211,270,78.1,69,120,57.5,2,1.6,1.8,+0.4,15,71,20,6,87,Matches,6c811eb7
72,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,23,1998,32.5,2188,2912,75.1,41590,16323,1000,1123,89.0,822,1045,78.7,331,642,51.6,9,11.5,9.1,-2.5,71,239,82,28,235,Matches,cd1acf9d
73,Alejandro Alfaro,es ESP,MF,Elche,La Liga,20,2002,0.2,1,1,100.0,3,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,b907d169
74,Ángel Algobia,es ESP,MF,Getafe,La Liga,23,1999,12.6,420,521,80.6,7479,1575,179,211,84.8,173,197,87.8,52,82,63.4,0,0.6,0.3,-0.6,5,35,4,4,42,Matches,acc1aefa
75,Mohamed Ali Cho,fr FRA,FWMF,Real Sociedad,La Liga,18,2004,6.5,108,165,65.5,1506,407,72,82,87.8,27,53,50.9,5,17,29.4,2,1.7,1.6,+0.3,7,6,10,7,8,Matches,f8405304
76,Faride Alidou,de GER,DFMF,Eintracht Frankfurt,Bundesliga,21,2001,2.0,74,101,73.3,1164,410,38,41,92.7,33,46,71.7,2,9,22.2,1,0.5,0.3,+0.5,3,8,7,3,16,Matches,00f518d8
77,Alisson,br BRA,GK,Liverpool,Premier League,29,1992,37.0,1241,1453,85.4,29043,18696,307,309,99.4,657,666,98.6,273,469,58.2,1,0.3,0.0,+0.7,1,16,0,0,3,Matches,7a2e46a8
78,Jim Allevinah,ga GAB,DFFW,Clermont Foot,Ligue 1,27,1995,24.9,658,848,77.6,9331,2378,388,453,85.7,216,273,79.1,25,62,40.3,1,2.0,2.5,-1.0,18,37,14,9,59,Matches,1956b948
79,Dele Alli,eng ENG,MF,Everton,Premier League,26,1996,0.4,12,15,80.0,123,10,6,8,75.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches,cea4ee8f
80,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,La Liga,22,2000,28.2,1110,1402,79.2,18396,6030,561,624,89.9,396,485,81.6,110,213,51.6,4,3.4,4.0,+0.6,43,143,43,13,197,Matches,e6697917
81,Miguel Almirón,py PAR,FW,Newcastle United,Premier League,28,1994,27.7,811,982,82.6,10752,2657,513,567,90.5,223,276,80.8,29,40,72.5,2,3.2,3.0,-1.2,26,45,36,4,124,Matches,862a1c15
82,Marcos Alonso,es ESP,DF,Barcelona,La Liga,31,1990,13.0,896,1005,89.2,16393,5539,360,386,93.3,442,475,93.1,81,117,69.2,0,0.3,0.9,-0.3,6,70,9,4,71,Matches,f4290206
83,Mickaël Alphonse,gp GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,448,686,65.3,7834,3413,197,237,83.1,190,272,69.9,45,133,33.8,0,0.6,0.9,-0.6,11,43,10,5,51,Matches,0a63446f
84,Agustín Álvarez,uy URU,FWMF,Sassuolo,Serie A,21,2001,4.1,68,84,81.0,942,179,43,52,82.7,13,17,76.5,6,8,75.0,1,0.4,0.3,+0.6,2,4,2,0,6,Matches,ab472696
85,Éder Álvarez Balanta,co COL,MFFW,Schalke 04,Bundesliga,29,1993,2.6,64,91,70.3,1237,408,21,29,72.4,34,39,87.2,9,18,50.0,0,0.3,0.2,-0.3,4,11,0,0,12,Matches,8ce30c57
86,Carlos Álvarez,es ESP,MF,Sevilla,La Liga,18,2003,0.1,4,4,100.0,47,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,56bcaaa0
87,Gastón Álvarez,uy URU,DF,Getafe,La Liga,22,2000,16.7,350,579,60.4,5840,3078,176,209,84.2,136,228,59.6,30,103,29.1,0,0.2,0.4,-0.2,4,27,4,3,38,Matches,852ddfb8
88,Julián Álvarez,ar ARG,FWMF,Manchester City,Premier League,22,2000,16.3,395,503,78.5,5472,885,232,270,85.9,103,135,76.3,28,43,65.1,0,1.8,1.6,-1.8,18,22,13,2,37,Matches,15ab5a2b
89,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,27,1995,25.9,1123,1392,80.7,23716,9040,357,404,88.4,596,671,88.8,163,287,56.8,1,1.1,0.8,-0.1,14,137,11,4,152,Matches,3ecc11d8
90,Ibrahim Amadou,fr FRA,DFMF,Angers,Ligue 1,29,1993,4.7,161,190,84.7,3021,1234,51,56,91.1,93,99,93.9,13,25,52.0,0,0.1,0.0,-0.1,1,4,0,0,5,Matches,9260926b
91,Selim Amallah,ma MAR,MFFW,Real Valladolid,La Liga,25,1996,3.0,63,83,75.9,1030,268,30,38,78.9,23,30,76.7,6,8,75.0,1,0.3,0.2,+0.7,3,7,2,0,10,Matches,00eba9c9
92,Daniel Amartey,gh GHA,DF,Leicester,Premier League,27,1994,17.9,1015,1114,91.1,17506,6591,442,473,93.4,498,526,94.7,62,91,68.1,0,0.5,0.4,-0.5,5,58,1,0,66,Matches,1a4ef233
93,Amath,sn SEN,MFFW,Mallorca,La Liga,26,1996,13.6,215,299,71.9,2692,708,147,174,84.5,41,64,64.1,9,19,47.4,0,0.8,0.6,-0.8,2,13,5,3,16,Matches,f3b1d9a2
94,Jordan Amavi,fr FRA,DF,Getafe,La Liga,28,1994,2.2,51,96,53.1,779,372,28,39,71.8,18,36,50.0,3,11,27.3,0,0.0,0.0,0.0,0,2,0,0,5,Matches,22721b88
95,Lukáš Ambros,cz CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,3,3,100.0,43,4,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,cd682b6b
96,Kelvin Amian,fr FRA,DF,Spezia,Serie A,24,1998,26.4,830,1110,74.8,13341,5833,414,481,86.1,324,419,77.3,59,131,45.0,1,2.3,2.2,-1.3,18,80,19,10,102,Matches,bcc81786
97,Bruno Amione,ar ARG,DF,Verona,Serie A,20,2002,0.6,11,16,68.8,167,40,6,6,100.0,5,7,71.4,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2df7cc43
98,Bruno Amione,ar ARG,DF,Sampdoria,Serie A,20,2002,23.2,821,1032,79.6,14337,5874,337,386,87.3,413,479,86.2,59,117,50.4,1,0.6,0.8,+0.4,3,38,3,1,54,Matches,2df7cc43
99,Nadiem Amiri,de GER,MFFW,Bayer Leverkusen,Bundesliga,25,1996,10.9,423,507,83.4,6968,1759,212,233,91.0,149,168,88.7,45,68,66.2,1,1.1,1.8,-0.1,15,38,9,1,55,Matches,555d5edd
100,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,Premier League,16,2006,0.0,5,6,83.3,74,11,0,1,0.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,1,2,0,0,1,Matches,9eedf0e0
101,Ethan Ampadu,wls WAL,DFMF,Spezia,Serie A,21,2000,29.3,1254,1548,81.0,23855,9527,474,538,88.1,631,707,89.3,134,253,53.0,1,1.1,0.9,-0.1,13,106,14,4,125,Matches,10b9fa99
102,Sofyan Amrabat,ma MAR,MF,Fiorentina,Serie A,25,1996,22.2,1323,1490,88.8,26717,7147,450,504,89.3,636,677,93.9,217,258,84.1,1,1.1,1.6,-0.1,12,158,23,10,176,Matches,5a2cb25d
103,Ayoub Amraoui,ma MAR,DFFW,Nice,Ligue 1,18,2004,3.3,155,185,83.8,2237,638,83,86,96.5,56,67,83.6,6,15,40.0,0,0.1,0.1,-0.1,2,10,2,2,13,Matches,ae11ba3d
104,Joachim Andersen,dk DEN,DF,Crystal Palace,Premier League,26,1996,30.9,1561,1972,79.2,36474,13911,346,391,88.5,927,1007,92.1,281,534,52.6,0,1.3,1.0,-1.3,12,153,8,1,105,Matches,e34fc66d
105,Elliot Anderson,eng ENG,MFFW,Newcastle United,Premier League,19,2002,4.6,150,198,75.8,2043,599,90,104,86.5,44,56,78.6,5,10,50.0,1,1.3,1.5,-0.3,9,15,4,0,24,Matches,de31038e
106,Felipe Anderson,br BRA,FW,Lazio,Serie A,29,1993,32.9,1093,1410,77.5,15203,3384,665,780,85.3,331,416,79.6,49,86,57.0,2,4.8,4.2,-2.8,47,61,47,6,114,Matches,9f1893b9
107,Benjamin André,fr FRA,MF,Lille,Ligue 1,31,1990,32.4,1942,2324,83.6,35130,11527,818,937,87.3,809,916,88.3,238,335,71.0,1,1.8,2.3,-0.8,21,297,24,0,309,Matches,ef9c1c95
108,Marcos André,br BRA,FWMF,Valencia,La Liga,25,1996,5.0,43,64,67.2,631,160,21,32,65.6,18,23,78.3,1,4,25.0,0,0.4,0.2,-0.4,4,4,1,0,7,Matches,ae86d473
109,Komnen Andrić,rs SRB,FW,Clermont Foot,Ligue 1,27,1995,16.1,320,428,74.8,4806,688,174,229,76.0,98,124,79.0,24,28,85.7,3,0.9,0.8,+2.1,15,22,6,0,27,Matches,af3ddb2e
110,Robert Andrich,de GER,MF,Bayer Leverkusen,Bundesliga,27,1994,26.7,1218,1455,83.7,19896,5759,594,675,88.0,496,581,85.4,82,123,66.7,2,1.2,0.9,+0.8,18,77,11,2,99,Matches,e0b113a7
111,Angeliño,es ESP,DF,Hoffenheim,Bundesliga,25,1997,29.1,1012,1544,65.5,19297,7991,424,501,84.6,433,616,70.3,143,339,42.2,8,7.2,7.7,+0.8,50,82,52,29,108,Matches,30941e96
112,Fabrizio Angileri,ar ARG,DF,Getafe,La Liga,28,1994,6.5,153,260,58.8,2800,936,67,87,77.0,65,109,59.6,17,42,40.5,0,0.0,0.1,0.0,0,13,1,0,16,Matches,fdd26d71
113,Jaidon Anthony,eng ENG,MFFW,Bournemouth,Premier League,22,1999,14.0,387,526,73.6,5818,1610,225,257,87.5,110,150,73.3,31,63,49.2,1,1.0,1.1,0.0,12,24,19,7,49,Matches,e4238fb1
114,Janis Antiste,fr FRA,FW,Sassuolo,Serie A,19,2002,0.6,13,18,72.2,159,43,8,11,72.7,4,5,80.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,38d9ce53
115,Waldemar Anton,de GER,DF,VfB Stuttgart,Bundesliga,26,1996,32.6,1629,2059,79.1,32013,12155,539,629,85.7,913,1044,87.5,167,324,51.5,2,1.4,1.4,+0.6,10,112,16,4,135,Matches,5e66fa06
116,Josep Antoni Gayá,es ESP,DFMF,Mallorca,La Liga,22,2000,1.1,6,7,85.7,96,34,3,3,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,4a5f2032
117,José Antonio,es ESP,MFDF,Cadiz,La Liga,18,2004,0.5,8,10,80.0,98,50,6,6,100.0,2,2,100.0,0,1,0.0,1,0.0,0.0,+1.0,1,2,1,0,3,Matches,62a583ee
118,Marcos Antônio,br BRA,MF,Lazio,Serie A,22,2000,6.6,380,420,90.5,5541,1381,225,236,95.3,118,130,90.8,22,30,73.3,1,0.3,0.3,+0.7,3,40,2,0,25,Matches,108fe016
119,Michail Antonio,jm JAM,FW,West Ham,Premier League,32,1990,20.3,186,348,53.4,2663,501,114,168,67.9,55,108,50.9,12,31,38.7,3,1.3,0.8,+1.7,15,12,8,2,27,Matches,ac05f970
